Year,Country,Isocode,"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
2005 [YR2005],Italy,ITA,7.730500221,2.010557901
2006 [YR2006],Italy,ITA,6.776599884,2.124853915
2007 [YR2007],Italy,ITA,6.075399876,2.478994766
2008 [YR2008],Italy,ITA,6.723199844,2.400703444
2009 [YR2009],Italy,ITA,7.748600006,1.67883896
2010 [YR2010],Italy,ITA,8.362500191,0.436360538
2011 [YR2011],Italy,ITA,8.359000206,1.607176983
2012 [YR2012],Italy,ITA,10.65450001,1.54730144
2013 [YR2013],Italy,ITA,12.14869976,1.147610159
2014 [YR2014],Italy,ITA,12.68280029,0.913241262
2015 [YR2015],Italy,ITA,11.89599991,0.931863575
2016 [YR2016],Italy,ITA,11.6882,1.13435002
2017 [YR2017],Italy,ITA,11.2105999,0.726343221
2018 [YR2018],Italy,ITA,10.60999966,1.031114442
2019 [YR2019],Italy,ITA,9.951399803,0.709802319
